almacen,cantidad,clase,cod_item,departamento,dolares_abono,dolares_cargo,dolares_saldo,empresa,estado_orden,estado_pago,facturas_vinculadas,fecha_transaccion,glosa,id_transaccion,item,linea_negocio,moneda,razon_social,soles_abono,soles_cargo,soles_saldo,unidad_medida,voucher_contable,actividad,macropartida,partida_presupuestaria,proyecto
PA ALMACEN GENERAL,2,OPERACIONES PACKING,15728,CO-MANTENIMIENTO PACKING,0,74.2,74.2,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,22/05/2026,POTENCIOMETRO COMPLETO 10K HARMONY XB5,147396,POTENCIOMETRO COMPLETO 10K HARMONY XB5,,Soles,20111740438 - SONEPAR PERU S.A.C.,0,253.63,253.63,UNIDAD,OC- 4400003042,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
PA ALMACEN GENERAL,5,OPERACIONES PACKING,15711,CO-MANTENIMIENTO PACKING,0,4.39,4.39,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,22/05/2026,FOCO LED BULBO E27 16W,147396,FOCO LED BULBO E27 16W,,Soles,20111740438 - SONEPAR PERU S.A.C.,0,15,15,UNIDAD,OC- 4400003042,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
PA ALMACEN GENERAL,6,OPERACIONES PACKING,14993,CO-MANTENIMIENTO PACKING,0,7.01,7.01,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,26/05/2026,TUBO FLUORESCENTE LED 16W ECOFIT T8,152137,TUBO FLUORESCENTE LED 16W ECOFIT T8,FORMATOS VARIOS,Soles,20111740438 - SONEPAR PERU S.A.C.,0,23.99,23.99,UNIDAD,OC- 4400003107,O0105-30017-30012-MANTENIMIENTO DE SISTEMA DE FRIO,O0105-OTROS COSTOS,O0105-30017-MANTENIMIENTO DE SISTEMA DE FRIO,
PA ALMACEN GENERAL,2,OPERACIONES PACKING,14996,CO-MANTENIMIENTO PACKING,0,26.07,26.07,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,26/05/2026,RIEL DIN RANURADO 35x15x1.5mm 2mts,152137,RIEL DIN RANURADO 35x15x1.5mm 2mts,FORMATOS VARIOS,Soles,20111740438 - SONEPAR PERU S.A.C.,0,89.15,89.15,UNIDAD,OC- 4400003107,O0105-30017-30012-MANTENIMIENTO DE SISTEMA DE FRIO,O0105-OTROS COSTOS,O0105-30017-MANTENIMIENTO DE SISTEMA DE FRIO,
PA ALMACEN GENERAL,5,OPERACIONES PACKING,15832,CO-MANTENIMIENTO PACKING,0,43.37,43.37,ALZA PERU PACKING SAC,Pendiente Recepción,Sin Factura,,27/05/2026,FOCO LED UFO 24W E27 LUZ FRIA,154080,FOCO LED UFO 24W E27 LUZ FRIA,,Soles,20611442221 - MEGA INDUSTRIA Y MINERIA S.A.C.,0,148.31,148.31,UNIDAD,OC- 4400003135,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
PA ALMACEN GENERAL,20,OPERACIONES PACKING,8351,CO-MANTENIMIENTO PACKING,0,68.8,68.8,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,07/04/2026,MTTO DE VENTILADORES DE EVAPORADORES,80888,RODAMIENTO 6201 - 2Z - SKF,FORMATOS VARIOS,Soles,20611442221 - MEGA INDUSTRIA Y MINERIA S.A.C.,0,237.29,237.29,UNIDAD,OC- 4400001874,O0105-30017-30012-MANTENIMIENTO DE SISTEMA DE FRIO,O0105-OTROS COSTOS,O0105-30017-MANTENIMIENTO DE SISTEMA DE FRIO,
PA ALMACEN GENERAL,6,OPERACIONES PACKING,8352,CO-MANTENIMIENTO PACKING,0,101.81,101.81,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,17/04/2026,MTTO DE VENTILADORES DE EVAPORADORES,95508,RODAMIENTO W608 - 2Z - SKF,FORMATOS VARIOS,Soles,20611442221 - MEGA INDUSTRIA Y MINERIA S.A.C.,0,349.83,349.83,UNIDAD,OC- 4400002109,O0105-30017-30012-MANTENIMIENTO DE SISTEMA DE FRIO,O0105-OTROS COSTOS,O0105-30017-MANTENIMIENTO DE SISTEMA DE FRIO,
PA ALMACEN GENERAL,4,OPERACIONES PACKING,9948,CO-MANTENIMIENTO PACKING,0,4.03,4.03,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F001-00000815,02/01/2026,LAMPARA LED TUBULAR T8 16W 6500K 220-240V G13 1200MM ECOFIT E MAINS,86623,LAMPARA LED TUBULAR T8 16W 6500K 220-240V G13 1200MM ECOFIT E MAINS,,Soles,20611442221 - MEGA INDUSTRIA Y MINERIA S.A.C.,0,13.56,13.56,UNIDAD,OC- 4400001966,,,,
PA ALMACEN GENERAL,2,OPERACIONES PACKING,10050,CO-MANTENIMIENTO PACKING,0,22.43,22.43,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F001-00000815,02/01/2026,LLAMPARA HERMETICA 2xTLD 1200MM WATERPROOF,86623,LAMPARA HERMETICA 2xTLD 1200MM WATERPROOF,,Soles,20611442221 - MEGA INDUSTRIA Y MINERIA S.A.C.,0,75.42,75.42,UNIDAD,OC- 4400001966,,,,
PA ALMACEN GENERAL,7,OPERACIONES PACKING,8748,CO-MANTENIMIENTO PACKING,0,182,182,ALZA PERU PACKING SAC,Pend. Facturación,Sin Factura,,07/04/2026,FILTRO CERAMICO DE SUCCION 48F 023U1921 DANFOSS,83225,FILTRO CERAMICO DE SUCCION 48F 023U1921 DANFOSS,FORMATOS VARIOS,US Dollar,20615594831 - POLAR TECH E.I.R.L.,0,627.72,627.72,UNIDAD,OC- 4400001920,O0105-30017-30012-MANTENIMIENTO DE SISTEMA DE FRIO,O0105-OTROS COSTOS,O0105-30017-MANTENIMIENTO DE SISTEMA DE FRIO,
